LoginTime,LogoffTime,UserName,DomainName,IP,备注
"Mar 8, 2022 @ 06:03:48.235","Mar 8, 2022 @ 06:18:08.768",kate.wang,VERSACE,10.86.9.129,
"Mar 8, 2022 @ 06:05:25.830","Mar 8, 2022 @ 09:00:26.492",victo.chang,VERSACE,10.86.3.165,
"Mar 8, 2022 @ 06:08:56.057","Mar 8, 2022 @ 06:11:16.395",tina.wang,VERSACE,10.86.3.145,
"Mar 8, 2022 @ 06:17:42.482","Mar 8, 2022 @ 07:31:20.500",rebecca.jiang,VERSACE,10.86.3.175,
"Mar 8, 2022 @ 06:22:26.311","Mar 8, 2022 @ 07:47:52.151",Frances.Cao,VERSACE,10.86.3.128,
"Mar 8, 2022 @ 06:22:41.122","Mar 8, 2022 @ 06:52:40.687",Karen.Zhang,VERSACE,10.86.3.228,
"Mar 8, 2022 @ 06:25:03.200","Mar 8, 2022 @ 06:45:11.262",Terence.Zou,VERSACE,10.86.3.110,
"Mar 8, 2022 @ 06:32:58.699","Mar 8, 2022 @ 07:34:31.133",doreen.liu,VERSACE,10.86.3.86,
"Mar 8, 2022 @ 06:40:42.829","Mar 8, 2022 @ 12:13:07.567",Philip.Yang,VERSACE,10.86.3.176,
"Mar 8, 2022 @ 06:41:52.999","Mar 8, 2022 @ 10:30:50.569",Kyna.Li,VERSACE,10.86.3.32,
"Mar 8, 2022 @ 06:49:43.111","Mar 8, 2022 @ 07:31:31.747",Silvia.Chang,VERSACE,10.86.3.140,
"Mar 8, 2022 @ 06:51:36.586","Mar 8, 2022 @ 11:13:37.843",Amy.Tang,VERSACE,10.86.3.16,
"Mar 8, 2022 @ 07:00:23.978","Mar 8, 2022 @ 07:24:11.590",Cindy.Liang,VERSACE,10.86.3.120,
"Mar 8, 2022 @ 07:00:44.695","Mar 8, 2022 @ 07:08:33.868",wendy.chenwenting,VERSACE,10.86.3.30,
"Mar 8, 2022 @ 07:05:53.484","Mar 8, 2022 @ 07:11:53.612",Karen.Zhang,VERSACE,10.86.3.228,
"Mar 8, 2022 @ 07:11:20.540","Mar 8, 2022 @ 11:47:11.707",Jenny.Lai,VERSACE,10.86.9.121,
"Mar 8, 2022 @ 07:12:03.503","Mar 8, 2022 @ 07:46:03.465",brian.yuan,VERSACE,10.86.3.164,
"Mar 8, 2022 @ 07:12:59.663","Mar 8, 2022 @ 12:14:23.540",Terence.Zou,VERSACE,10.86.3.110,
"Mar 8, 2022 @ 07:26:18.466","Mar 8, 2022 @ 07:59:32.112",milk.chan,VERSACE,192.168.0.166,
"Mar 8, 2022 @ 07:32:58.094","Mar 8, 2022 @ 11:31:44.452",Sherry.Xie,VERSACE,10.86.3.146,
"Mar 8, 2022 @ 07:35:02.130","Mar 8, 2022 @ 10:54:39.828",doreen.liu,VERSACE,10.86.3.49,
"Mar 8, 2022 @ 07:44:27.228","Mar 8, 2022 @ 08:06:54.531",rebecca.jiang,VERSACE,10.86.3.42,
"Mar 8, 2022 @ 07:46:39.096","Mar 8, 2022 @ 07:48:59.434",Cindy.Liang,VERSACE,10.86.3.120,
"Mar 8, 2022 @ 07:49:20.744","Mar 8, 2022 @ 08:12:12.008",brian.yuan,VERSACE,10.86.3.164,
"Mar 8, 2022 @ 07:55:51.090","Mar 8, 2022 @ 10:23:41.239",raymond.zhao,VERSACE,10.86.3.111,
"Mar 8, 2022 @ 07:55:58.859","Mar 8, 2022 @ 11:14:36.078",pamela.qin,VERSACE,10.86.3.101,
"Mar 8, 2022 @ 08:02:59.110","Mar 8, 2022 @ 10:26:32.824",milk.chan,VERSACE,192.168.0.166,
"Mar 8, 2022 @ 08:04:20.121","Mar 8, 2022 @ 08:20:21.352",Karen.Zhang,VERSACE,10.86.3.228,
"Mar 8, 2022 @ 08:20:54.066","Mar 8, 2022 @ 08:51:56.756",bin.zeng,VERSACE,10.86.9.130,同一用户的标蓝记录存在登录注销时间重合，无法确认对应关系
"Mar 8, 2022 @ 08:22:55.622","Mar 8, 2022 @ 11:03:54.045",caroline.tian,VERSACE,10.86.3.65,
"Mar 8, 2022 @ 08:24:19.800","Mar 8, 2022 @ 08:40:43.414",anson.lau,VERSACE,192.168.0.164,
"Mar 8, 2022 @ 08:30:54.155","Mar 8, 2022 @ 09:31:39.472",brian.yuan,VERSACE,10.86.3.164,
"Mar 8, 2022 @ 08:34:24.007","Mar 8, 2022 @ 09:14:31.160",Jasmine.Zhang,VERSACE,10.86.3.222,
"Mar 8, 2022 @ 08:39:48.755","Mar 8, 2022 @ 10:01:30.722",rebecca.jiang,VERSACE,10.86.3.175,
"Mar 8, 2022 @ 08:48:48.240","Mar 8, 2022 @ 10:35:09.313",jiajie.wu,VERSACE,10.86.3.179,同一用户的标蓝记录存在登录注销时间重合，无法确认对应关系
